Logits,Targets,Input_Lengths,Target_Lengths
"[[0.547026455330565, 0.2367283349136381, 0.7241323144477989, 0.3875178310321228, 0.016759070056690972], [0.2624422304057149, 0.13195196014487454, 0.3154210842588011, 0.0898513189989788, 0.34206435781922273], [0.45639259038668756, 0.40572946699236345, 0.4681580635560132, 0.05691450871179404, 0.4336073786123602], [0.8428660108188477, 0.24630333383508152, 0.44557610302234907, 0.9662289423995478, 0.37670031356498246], [0.6804713481476755, 0.6103578671860437, 0.5955676800180737, 0.1981840215465417, 0.46485623682333055], [0.21668107367808853, 0.34775999899097676, 0.710717432643736, 0.3992292573867031, 0.7292888790168466], [0.9518032787535144, 0.2741011406514563, 0.844070792132248, 0.02569826626730265, 0.8650645259708232], [0.5695334924057501, 0.33547696861519505, 0.7466327273907455, 0.0576888218993149, 0.8900879239349387], [0.8849089906146789, 0.17284715537870066, 0.08843195951678295, 0.3113089902200591, 0.46794366174176427], [0.18125363076748724, 0.6125973901251262, 0.31035357544354325, 0.9490892868906694, 0.35385169605525957]]","3,2,3,1,4,3,4,2,2,2",10,10
"[[0.6841064278787954, 0.0030454997081488244, 0.9059717956189424, 0.8166516944888575, 0.9466410153495177], [0.882302337087706, 0.2090811393675317, 0.43804068825927545, 0.4231850035948551, 0.3039741650656319], [0.3027728612824484, 0.241257358399099, 0.8000492489511783, 0.766007497931648, 0.4636933504657358], [0.23307768603340862, 0.6177601536829772, 0.22536513609515707, 0.911195919653241, 0.749635437183186], [0.4994800521270282, 0.7619215966119973, 0.21422061437945628, 0.8752882979728295, 0.07344122656780827], [0.6993888634844452, 0.2171224340424912, 0.1358717094673637, 0.6949507205269917, 0.7820062206746294], [0.8186352023737102, 0.929558157476939, 0.9815662126258279, 0.19111163137292098, 0.09347082723072953], [0.19362064128958778, 0.6453080832378325, 0.7977255348246235, 0.18227603347705668, 0.15217833112307344], [0.0549943437060888, 0.17110627878451812, 0.055417749641383685, 0.22651041499315083, 0.8679560620183724], [0.0101776064663055, 0.15800175608324463, 0.6724888905446946, 0.7142664106761243, 0.5814908397831827]]","4,4,2,1,1,2,3,3,1,1",10,10
"[[0.25834978118322527, 0.27013856941166825, 0.007482163754678028, 0.7692410028871184, 0.3298178883521994], [0.08667053847166217, 0.43287341284341707, 0.8476027115200477, 0.09541806332573177, 0.9332180877869658], [0.03860410793178526, 0.9525008142453955, 0.43262146585707906, 0.89579569085671, 0.7340134673963579], [0.9916493006593754, 0.9730055999591736, 0.5511960403799055, 0.7004598270310809, 0.6248750574006974], [0.7728308408109136, 0.7671078136126211, 0.8425041846657612, 0.7528206041119231, 0.07997035769009475], [0.23155810949008016, 0.9727887882010036, 0.0625213041171847, 0.109194246443857, 0.49865536275108324], [0.028145981891096516, 0.9322591030532132, 0.2685569666444986, 0.47901966561354203, 0.6880601120692124], [0.45220775456960827, 0.7279815498984167, 0.3235707037817269, 0.6023390071801659, 0.43666432834029334], [0.5150701436129924, 0.03837600281342213, 0.996694122274839, 0.4626332023900207, 0.4651307898819027], [0.18794126589557536, 0.25081346303646124, 0.9338859609001512, 0.4364530382340822, 0.2077411215349908]]","1,2,1,1,2,1,4",10,7
"[[0.9668580437368274, 0.20514957254782273, 0.6364075998963352, 0.7790869155933202, 0.9647536016518954], [0.4085335856743948, 0.5669658811428697, 0.23026895483008392, 0.8373152582627967, 0.2307107818825186], [0.7978903391993605, 0.7026859626388287, 0.08103564241693828, 0.32245793708865567, 0.424917805006529], [0.022410025093345998, 0.1057315056623016, 0.8508448978661486, 0.9931279165959064, 0.26301686838354166], [0.7351509100906779, 0.24313716604952484, 0.8006019618123962, 0.9193776441016641, 0.833889796191529], [0.1478669700367955, 0.5259342019791409, 0.822131002141, 0.458172472211664, 0.824651460415029], [0.8971777790829067, 0.47575569611734214, 0.2558136582092787, 0.2103475258496953, 0.7078850445868926], [0.9281848058258956, 0.2573136643667613, 0.952559216778766, 0.9348560564251169, 0.05090679490893191], [0.5676528452452573, 0.46099327215390773, 0.5939618875576573, 0.6386819351495377, 0.897550773829329], [0.5272013062296481, 0.8111449123336623, 0.3391805894290223, 0.6843267587075432, 0.6424200250394633]]","1,3,4,3",10,4
"[[0.6100981080935968, 0.36768759358706504, 0.09491873821611818, 0.11359774048248084, 0.450861275255768], [0.24948381860536384, 0.6957600210346555, 0.1093281008037873, 0.931180976510245, 0.07591559484628008], [0.4592461705997001, 0.9028025027392805, 0.14386644761879164, 0.414267998307397, 0.49143381785254936], [0.6027744707698955, 0.43061227977137484, 0.7864330708518723, 0.6164941838884045, 0.36526475874244546], [0.7870249071639221, 0.9480826971972206, 0.5733337351158525, 0.10828228694796171, 0.6461298927540683], [0.7196606126943679, 0.8480916327058978, 0.5957123195372357, 0.6535457230462015, 0.48022010449427177], [0.047513355398854595, 0.08895869291318359, 0.32277893096693255, 0.11457083850707106, 0.8945598435972769], [0.035939609394973204, 0.7661598135852359, 0.15941482775203408, 0.8673613925050341, 0.7054146387919822], [0.7152351599997646, 0.6380970915879481, 0.6857540727581394, 0.7248618579051714, 0.5824462710804498], [0.27365048061548825, 0.20202378755054884, 0.32685902148892043, 0.14175078858094248, 0.07821966410627645]]","2,4,2,2,3,4,2,4,1,1",10,10
"[[0.2616683329065216, 0.34860942087779956, 0.8981163832209521, 0.19575040919881204, 0.9585032814061721], [0.8123199539578281, 0.4552095080273899, 0.7892008206383698, 0.2935590731805844, 0.5726295841799283], [0.6795829006549929, 0.22892607648736119, 0.5166515196525773, 0.4102157894609483, 0.9070241716526992], [0.9319082632321927, 0.14780253971369062, 0.9661162870887708, 0.3186850389457324, 0.16962481295106724], [0.011859848540684004, 0.5361128907214335, 0.037100773935955345, 0.20350105775608118, 0.5636950424298868], [0.10289421848312663, 0.9256409838297549, 0.2728273563400305, 0.2623581573273823, 0.8071475828641786], [0.9288035847257415, 0.7373554894151336, 0.8292423050250995, 0.8299787798068982, 0.3186330127610668], [0.5750469331267993, 0.6359032272245481, 0.89883338442739, 0.3842191041221241, 0.9655818291751256], [0.1497325222871636, 0.20503905657987576, 0.5014457410340843, 0.8029416224188641, 0.9295808673136189], [0.4108677905209007, 0.5176057096227897, 0.5241511975468037, 0.7261092224534087, 0.9691827752054258]]","2,1,1",10,3
"[[0.330056032737013, 0.9722406472361474, 0.18838451458549255, 0.38802540438495026, 0.39287380129649785], [0.25431434092879734, 0.8062212786249543, 0.7739152516666151, 0.021534996077414936, 0.10069931863524373], [0.2246596466109535, 0.7558800341115466, 0.11866013539700715, 0.8637321514536171, 0.7977085036242281], [0.0015261444303509286, 0.2117732293349044, 0.7085702784252571, 0.4032356717345539, 0.6588146487853099], [0.029587395610238043, 0.9925457340471879, 0.6035944058398739, 0.33004974471271953, 0.7747966591744108], [0.4886485465110648, 0.8043874651987871, 0.17297438320308656, 0.9681853193662887, 0.04643537579836232], [0.8384505194836673, 0.21810076848593607, 0.7463796771408654, 0.8158746878730415, 0.12085123249153973], [0.3285511690578481, 0.5285536759567647, 0.9074742475475414, 0.4727953702747848, 0.36547453104958916], [0.26246088212967766, 0.8860389344395389, 0.3835177447782401, 0.19327361168040713, 0.19027307710320662], [0.0660856168747298, 0.29148270272607835, 0.8111799723344055, 0.18492894825882233, 0.4483641645004399]]","1,4,3",10,3
"[[0.17555197384671628, 0.860318174237177, 0.049930736122823505, 0.10337197280572596, 0.03469272015204561], [0.46485639830228276, 0.4952828657210031, 0.39100611014797026, 0.8434716101387154, 0.8720412665313766], [0.6233293886102078, 0.39186753273948927, 0.7913031422874792, 0.9205677867227077, 0.7160251213206348], [0.022643877664565992, 0.8946119088764546, 0.14870253067273154, 0.4080769347213845, 0.7942280503330631], [0.4936804843482504, 0.3433119367257299, 0.19867083800975516, 0.4544503477764801, 0.5901082380290976], [0.671740563147175, 0.029658991953485203, 0.44763160232031274, 0.2628693260792587, 0.45634312455616566], [0.5425471949020142, 0.8545469116935163, 0.44441082395627696, 0.38767771566986164, 0.17866906986525255], [0.21399015031826607, 0.10858230450730466, 0.026638595611197302, 0.5935556578688187, 0.7829738438516938], [0.4380426619773391, 0.5426789391370731, 0.6675585412772108, 0.4625872986093573, 0.3858961399086419], [0.7931312498618279, 0.9250070286251653, 0.6261188125012639, 0.6998537055096195, 0.20127861965931526]]","4,4,2,3,3,4,2,4,4,4",10,10
"[[0.3672265961369853, 0.7078738062337481, 0.09377576690418798, 0.8957889742790375, 0.6900574510639194], [0.09590457292465315, 0.2860427353963392, 0.5496294438624332, 0.30863913475650107, 0.5187410474255201], [0.8421981551961093, 0.9641309072322783, 0.39615376239164013, 0.2554093161680737, 0.4890033690825506], [0.3358809226830829, 0.5621257969491651, 0.6885638820032116, 0.4077708381519173, 0.7086807584327124], [0.7534355855746803, 0.08683054384298183, 0.15587683802279384, 0.7394868324248238, 0.8301423270222981], [0.09941305678424206, 0.8449281812287466, 0.3534781115518172, 0.7988029093420125, 0.6839212001884271], [0.5108347359171301, 0.046459447860738856, 0.06349553469891756, 0.5228245496306059, 0.12014081538705179], [0.4806791441832098, 0.43593293446955494, 0.5011457995458657, 0.37060760534101467, 0.6915353285966029], [0.48444499391915596, 0.13467146753679227, 0.4672123797132194, 0.6982363950851058, 0.588875165203806], [0.9173627479071836, 0.4268936490257583, 0.3621976165679781, 0.15775774124118436, 0.3583419139520989]]","4,2",10,2
"[[0.6804125948683803, 0.676219978701333, 0.4403028715006796, 0.2332344526526623, 0.931537450279847], [0.45099749252912935, 0.5577300013182619, 0.26168558470440995, 0.36158153649299707, 0.5189502885279502], [0.39278696836040994, 0.7698477125032178, 0.6735782137827918, 0.3446133500245163, 0.9442894009388669], [0.21787418137380454, 0.09065965915346597, 0.952300897034024, 0.579309466638442, 0.0822600654976362], [0.6193949427308633, 0.6940336076371114, 0.5140811417008835, 0.404801668566236, 0.3912222419702265], [0.690266874965163, 0.9052701349462573, 0.09812853395498822, 0.32836499402083874, 0.25495800632205956], [0.8002967255651816, 0.7085782997367702, 0.7892432259001881, 0.5728625675159263, 0.460097003796074], [0.5687205939153805, 0.0760469992453977, 0.24580363798129712, 0.9800250033675192, 0.5196893041075884], [0.36382021196689773, 0.2764210273427474, 0.5732276678192466, 0.5516904507379475, 0.7957835254553475], [0.6997097801289333, 0.9436349299907902, 0.7536917158547426, 0.21898447588927883, 0.7144968219966218]]","3,1,2,3,2",10,5
"[[0.18965725596805794, 0.5644084746546982, 0.09351819637146963, 0.19463245200613755, 0.6317412778712672], [0.36660824586103313, 0.5079891801777581, 0.23702827735221854, 0.2523887122384425, 0.995256891030052], [0.6593183577009296, 0.20474336076409094, 0.86488776215326, 0.30325584450768917, 0.23815100841628423], [0.6115764993935313, 0.31903609220412776, 0.015983546719897435, 0.1879232219476119, 0.7972889323230247], [0.7700190098678381, 0.1080822898896161, 0.7345618998978918, 0.4323649476777969, 0.8131551785183425], [0.3156826186558177, 0.698330320766123, 0.07043188838940806, 0.5444098967662853, 0.14582051175699184], [0.437561873397432, 0.8950175835106274, 0.5580011094218456, 0.8722144383646263, 0.1907315308893005], [0.16088433023144133, 0.12407799966460109, 0.4078706290580656, 0.8715752315993577, 0.5269663060752705], [0.053158482321139955, 0.9623455535181732, 0.5389403483458708, 0.8267595723210884, 0.9297120466178522], [0.7614388326208846, 0.8767978946993588, 0.6393681946434517, 0.6782198719438359, 0.18583253551052126]]",3,10,1
"[[0.6485118730208287, 0.4134683551284988, 0.56851811681062, 0.7556104851699282, 0.018856362359596535], [0.4067843230055672, 0.22604954048175507, 0.11354310794011335, 0.07378296917927873, 0.10323592678067517], [0.07064444771941336, 0.9529917873760049, 0.5112442546081644, 0.5686030142279787, 0.9799679623528825], [0.5670240471273288, 0.07545477479066942, 0.8945059098579495, 0.2222919104818638, 0.4035108382838357], [0.1918215322928939, 0.47507579935376365, 0.7352104112991728, 0.3760900201997126, 0.8727898464358288], [0.9925094286322239, 0.3747347972076992, 0.2357706348335693, 0.848682470534741, 0.47416402469897334], [0.6590653809542317, 0.981640093078006, 0.4025154412808041, 0.8413377836818262, 0.08153412023109485], [0.39129637883648627, 0.09514168035607629, 0.16465292392656672, 0.14272615048210835, 0.06838741552154981], [0.4415663768626249, 0.41760770473399955, 0.013966345714188977, 0.3983661781935631, 0.6666867710974629], [0.9534518582666491, 0.6653103225301623, 0.7456871318250272, 0.14813024678715525, 0.4932497101637926]]",3,10,1
"[[0.2624122523189635, 0.8130325133924572, 0.8512104632074294, 0.9614797783936313, 0.1476851336119771], [0.44260542866621877, 0.7082588738113095, 0.2742831820678333, 0.8776567769331474, 0.7584396813842819], [0.8379167431617899, 0.8842995169663502, 0.70118032497053, 0.6749653788142737, 0.3248022794591142], [0.4721692264619576, 0.20700250682875754, 0.6869263640301863, 0.30123936895627945, 0.5481291147161015], [0.9475628734719724, 0.02012758083476296, 0.7938547550155858, 0.46314584633960065, 0.22560852641023488], [0.5389404655495645, 0.14979722143815877, 0.012401290219138827, 0.40767522035343995, 0.27759263046311744], [0.9142434366663714, 0.9516728772427235, 0.28477360314947564, 0.11428556735530815, 0.8382101931019452], [0.6476892443720771, 0.8441834235933654, 0.6926012392295918, 0.4523092044000856, 0.6714768513189757], [0.34209304710486, 0.6916899483920301, 0.23262622297959457, 0.21381299640783646, 0.4649844372684885], [0.5950138947593071, 0.949407468729072, 0.03867652359711615, 0.7203335942944666, 0.25444607284910625]]","2,4,3,4,2,4",10,6
"[[0.7231524297036758, 0.10471448677788342, 0.7271589246797365, 0.5702175537608171, 0.059083283501840445], [0.502890360566795, 0.3989169270140087, 0.46785563863204394, 0.9136390368390187, 0.46308459002043156], [0.5901866569610644, 0.3578610046150966, 0.8555658902211043, 0.20709697606313804, 0.30782920267987957], [0.0013161516419728514, 0.1885890157157909, 0.47111276787715006, 0.9673638023110968, 0.3932526450827264], [0.30020469368333846, 0.3751236590439524, 0.9506264307964574, 0.5799928477813752, 0.07007886040400813], [0.47341791522744137, 0.8162253782660338, 0.3373923440103501, 0.3434500523924072, 0.5509419487040405], [0.8656118732630522, 0.213302851998171, 0.193942975558701, 0.31621839982707234, 0.31977324290180953], [0.27627049270576165, 0.14888581959570435, 0.4503631233269021, 0.789748863813189, 0.3324868010705685], [0.6506800217336703, 0.9179343149621838, 0.4251862955933746, 0.21549401952955116, 0.2572162402442224], [0.657608552099168, 0.9920199431272152, 0.18511373736686842, 0.026998114892822778, 0.07228578972612876]]","2,3,1,4,4,3",10,6
"[[0.7249209751872546, 0.6210050760372717, 0.6135153040338278, 0.4415484538938629, 0.7887526660397193], [0.2216985914325813, 0.831587854556814, 0.11268800743859231, 0.42793130199287377, 0.2843877489763711], [0.1700814582426985, 0.8967908759794309, 0.11112416025610572, 0.13726580061876525, 0.7508054938742511], [0.9897488372692165, 0.18541763769288777, 0.11535892212029264, 0.6877997089345664, 0.11064344980330254], [0.5850386521038129, 0.520261425462055, 0.2864100753847134, 0.24071904288713708, 0.5610176479338713], [0.25989990724041456, 0.6185061421616294, 0.15527716293733418, 0.6855395795591156, 0.04988879191157003], [0.6686334109931351, 0.12819570901412014, 0.3170422809334865, 0.04284309627544525, 0.26021353473389497], [0.7048050214700088, 0.5549781574376327, 0.5648099099048395, 0.6997189775299948, 0.9220816085326802], [0.4341646210515685, 0.26069784990257927, 0.5984181801866327, 0.3082142924188248, 0.032925570238375834], [0.5886878681081558, 0.03288035158878211, 0.4252471052355439, 0.6849501668872352, 0.1472351099169682]]","3,2,1,1,3,3,2,4,3,4",10,10
"[[0.6594447124083337, 0.7135358435722835, 0.7964474865387731, 0.08146016943919066, 0.6783174005353635], [0.7053140708162179, 0.39754406533451814, 0.4430140586947722, 0.5168855993468121, 0.1830700954417538], [0.6861398504581718, 0.29921229712651276, 0.175582817570053, 0.054043700985673016, 0.5556379496511977], [0.18028266791920378, 0.4264789575286948, 0.19535427754968382, 0.60741824833277, 0.06374725366156808], [0.8872628931161133, 0.805233397629836, 0.3210950490825134, 0.5094210414938402, 0.27513050934409655], [0.22318088487993926, 0.9813900104825347, 0.5860456988444455, 0.18857695316069645, 0.30019204374657094], [0.743362832308838, 0.1771719585545818, 0.04456797313103844, 0.7235609543528663, 0.9836928968377165], [0.10126903008450894, 0.0646749322834117, 0.13313273528420666, 0.558152390103039, 0.5266788427279493], [0.8869904966507666, 0.5299678125435475, 0.8512168477398073, 0.509445771902012, 0.6990261744308592], [0.1326169913814349, 0.5092027773902068, 0.7271003200066781, 0.47778890050579526, 0.198574106164773]]","4,1,3,3",10,4
"[[0.6876897368383884, 0.759276563749509, 0.5280991256105964, 0.7279010653080543, 0.6922322026336472], [0.906459319684389, 0.06905403131325305, 0.8331837693074333, 0.7337882509240272, 0.4773133439379519], [0.289643164240479, 0.5239509780471846, 0.3894065965093676, 0.891466677928297, 0.8431605571570759], [0.052885243106845836, 0.9538612324540756, 0.9649916456225647, 0.0004315472235035811, 0.09123712900191372], [0.5197788287265135, 0.9674281789916085, 0.6016804070309069, 0.1095102637731078, 0.09924711516531348], [0.46907759484133726, 0.7134390785953785, 0.563391364903636, 0.3574093051435835, 0.09574264415664735], [0.03913528688955714, 0.9594952523831008, 0.4652135278473525, 0.8508043228747927, 0.5056664350181121], [0.7890243392482256, 0.6632174550780896, 0.3209288463999821, 0.341769732176758, 0.9829308387773291], [0.9552438126639573, 0.25793409547617274, 0.9071763470886003, 0.6917478539051336, 0.8768514247248687], [0.6855422708828092, 0.9633789493662132, 0.9092927231138463, 0.9720036027484081, 0.8302378439090161]]","1,2,4,4,1,1,2,4",10,8
"[[0.3536025164740332, 0.6890691577756302, 0.747975937443579, 0.7353584889452016, 0.9741732470984323], [0.10522188333948601, 0.9001835776974519, 0.8098333857059401, 0.35802690147562866, 0.8178321616219051], [0.10924836281228367, 0.7460055235456013, 0.5279634377366456, 0.25872104472544455, 0.7021519254841625], [0.441458470960419, 0.5394778194604305, 0.8170044609489456, 0.9434046310047289, 0.42775964457433857], [0.7118326790856107, 0.04094206824547719, 0.5993132296902476, 0.48998346639846935, 0.6178024007950654], [0.6244485651048822, 0.8950133054242202, 0.38421744186963513, 0.18194759975464703, 0.5285136186860768], [0.8789483938031551, 0.3628131448351537, 0.426992142305724, 0.20656510641554526, 0.679768094836299], [0.9909192051499706, 0.180281178205408, 0.6312408729437716, 0.5228151794929474, 0.28458312111789774], [0.7171150370788842, 0.3151547466384135, 0.10877212529167501, 0.40465965762450484, 0.27598300846675117], [0.6198224353815136, 0.8182938500944937, 0.2622221064631639, 0.2744481674885506, 0.7785709533317542]]","1,2,4,1,1,3,4,2,2,3",10,10
"[[0.5841995558891414, 0.06500857457275222, 0.6113041126523179, 0.5409816521756431, 0.8051815994412638], [0.6697465974811613, 0.6049357444189383, 0.5868297344902496, 0.6307721485176295, 0.01793283652446398], [0.9688934324949988, 0.0892016009982658, 0.20932505689246794, 0.13812550852391625, 0.5011037178752871], [0.2817995386583666, 0.6502912768237564, 0.22319986157844285, 0.8534585415303413, 0.9992662579868753], [0.8683113828694423, 0.05207867319914106, 0.21602673941521433, 0.8778315254502232, 0.7066847849807052], [0.47097991815205564, 0.4304538744490912, 0.5020347279065559, 0.6208637195600281, 0.07847332175279176], [0.16400274822388627, 0.5624285126841765, 0.9154452050143834, 0.05896101198811898, 0.19662054862521317], [0.8246654142700289, 0.752212482829105, 0.6471278817790096, 0.4067928706155908, 0.5844421266246852], [0.34891854546620915, 0.43590293731116414, 0.3753473113011967, 0.5195951157801078, 0.23562030919484955], [0.9103396043070413, 0.9005190478938181, 0.997241218380719, 0.4597322505487268, 0.04031452866970886]]",2,10,1
"[[0.7694650228037574, 0.12286098401059609, 0.8880982778710674, 0.028966868555158953, 0.09739137388488828], [0.8540413278609149, 0.6809307537527189, 0.7004076887806322, 0.3472779519419752, 0.6144476945113286], [0.455858827252693, 0.4302951722582038, 0.2788486389515944, 0.5832096070842121, 0.6685578411033407], [0.13666370250435267, 0.7055694500011637, 0.25646057791619603, 0.08588135531824026, 0.5712668952165161], [0.8868526198013506, 0.908364699046252, 0.1535292163140134, 0.6610329249406306, 0.45321732048493946], [0.2626866665911711, 0.8950106227901674, 0.06762844758895337, 0.7775898071607292, 0.12341251265790598], [0.17083210184342323, 0.6315999181325237, 0.008703058537244956, 0.2555299437105927, 0.3897793314100516], [0.4178280276799341, 0.3140652519282451, 0.45864927353800544, 0.46879776649662064, 0.2554518994471554], [0.5675763826168153, 0.9313102092519329, 0.13529312508708224, 0.39245493165986, 0.5169544548474392], [0.49724847576947284, 0.33713195500243, 0.7340529587154185, 0.4488988395517357, 0.23969660814026894]]",2,10,1
"[[0.7855749509956299, 0.542767425764994, 0.283027430019122, 0.32486822611857913, 0.12824363526152172], [0.20494578058386126, 0.3593638150371614, 0.4943263807452386, 0.4413488008115791, 0.7983548298560993], [0.5861756416273277, 0.8255116247678664, 0.3373124066827502, 0.8642001326014975, 0.7553113726452021], [0.12375931136280094, 0.8334773903471725, 0.7509944496577763, 0.7931667030407547, 0.6333395835678102], [0.31563963262955397, 0.3675652335715569, 0.6873948330918358, 0.498386882389963, 0.5606467556762957], [0.45027043653891885, 0.9210558587958413, 0.6642055695883676, 0.3508953354072075, 0.4667342901574808], [0.18622308642796148, 0.7363605287488297, 0.9744507625129842, 0.4814138512014595, 0.6673709712439347], [0.8659199566537832, 0.21043495868020268, 0.28165769740134183, 0.30345845894283585, 0.17651262012158642], [0.4887478643714773, 0.13480437962105618, 0.5891909228985939, 0.9773947733724747, 0.6235856899990707], [0.7319988232078912, 0.6929984553312045, 0.5503272974933119, 0.11642771987307843, 0.8845341708111992]]",2,10,1
"[[0.3166886761892247, 0.8594106741560078, 0.4565487336546382, 0.4949441712999987, 0.23438823498761108], [0.8439304029951818, 0.765984250918222, 0.7712284109692045, 0.8996856086490077, 0.3920321238777109], [0.6599414372452167, 0.4952606055738771, 0.02878661516546721, 0.3554809269074347, 0.9411456408515688], [0.8569863311241458, 0.4703240177867424, 0.5291403777832641, 0.13706504589118362, 0.5875891596558749], [0.7433122969392929, 0.1282546103970147, 0.25359110693154996, 0.2516963705562054, 0.7649691615398081], [0.0675404805956542, 0.7736887059085842, 0.4461652000319385, 0.07284062897479793, 0.6988946570023201], [0.46359161795456905, 0.0885866872293628, 0.1689493927901934, 0.1734412466711931, 0.190009880822811], [0.378466598250483, 0.9512058570295792, 0.8707085014483902, 0.6030085447015668, 0.9333440038615147], [0.05676835609627551, 0.7319099746441279, 0.16011651426166973, 0.35433753130618306, 0.6369039513996967], [0.5148092460240621, 0.885540344382176, 0.8030490478194842, 0.18322386090596454, 0.07006731767505459]]","3,4,3,1",10,4
"[[0.5452257928710933, 0.675833926430363, 0.7363585391671008, 0.30364043505479643, 0.41673804962735017], [0.9365324576529325, 0.8436113003293637, 0.3680441657694997, 0.4813313755818751, 0.8339874339021436], [0.19016254451840464, 0.20470086335134108, 0.15253038261319574, 0.08936690869314567, 0.4394880267223521], [0.6777499982658575, 0.2538144091615411, 0.9790725307615323, 0.6610039533940799, 0.6215921568680289], [0.4632273765365823, 0.01935725239610886, 0.3569012292380872, 0.14782555253181295, 0.1946547332866405], [0.3385489344129019, 0.10784935046255162, 0.9104824486246446, 0.9966237699581177, 0.7490527198444982], [0.03365694154259047, 0.9986757148374272, 0.2923996888000392, 0.8660680045042644, 0.07605377976278438], [0.565586246041088, 0.18636365625855278, 0.9079982102377853, 0.5362133121418975, 0.459681573699947], [0.7028626670613022, 0.8530513148752069, 0.20919187395226413, 0.397452723922914, 0.3060359884399325], [0.6723701531184167, 0.9357097164430033, 0.7443386590031835, 0.9363298655974408, 0.9656560939396278]]","4,1",10,2
"[[0.5820087469977325, 0.7260838641396312, 0.991536084408518, 0.26184912177377095, 0.052643142290068834], [0.17277946788673304, 0.3511030450386933, 0.4372056837182643, 0.8599052948446131, 0.3367055957068831], [0.18166968219608515, 0.26606682671821447, 0.8488196931493525, 0.9782009565361375, 0.5463773488426324], [0.27335458420625813, 0.2317902094465052, 0.5267393176108052, 0.9436405154358847, 0.05723947693282072], [0.9554139560767324, 0.5134535240405498, 0.15877612694148668, 0.11484543139168535, 0.945778507490627], [0.18688575344190383, 0.8138234537579798, 0.5335343090081291, 0.7134280578150908, 0.572566894453041], [0.46979167151316314, 0.5441629145770034, 0.27418113245535436, 0.07379664832404109, 0.10972890499989563], [0.046684778736012955, 0.6866616459187584, 0.42678975422588983, 0.1526818356967511, 0.6554064374756986], [0.738006377254133, 0.5366986427396371, 0.7703195910661568, 0.6344466435942586, 0.4740671724987229], [0.32045392451590227, 0.9236815702516871, 0.6759758421229932, 0.8000004298367441, 0.017388853944800386]]","2,2",10,2
"[[0.2016390192514005, 0.30727544751085334, 0.32350445923642124, 0.1695788582888561, 0.6450384340482644], [0.8391303892263148, 0.8007643515223807, 0.5925622796581569, 0.4731051017348433, 0.9953110739773462], [0.05573743253752872, 0.37055184502123484, 0.6527968299111717, 0.07187029535363854, 0.46249460413150156], [0.7424051409898026, 0.36097157784173073, 0.9261226447536308, 0.6662923688907781, 0.2838231777961422], [0.9402069686394371, 0.994975522047613, 0.959147852461968, 0.33371044503330827, 0.05168639748931547], [0.21698689643249358, 0.26648407831667864, 0.8407479445130155, 0.18815083691969647, 0.8067430189859525], [0.7691352332952568, 0.5114733605255238, 0.14458938996804516, 0.27684196733433686, 0.9358010997313001], [0.9482451428611468, 0.7079228065212652, 0.19134832674054447, 0.9543347555985107, 0.7621507572254522], [0.2784727841670912, 0.6058027529307443, 0.633711718962192, 0.5659833611146919, 0.6367027744870098], [0.14035551125017343, 0.09338718260744727, 0.7999439767918338, 0.20948718800074595, 0.22173115879873462]]","2,3,4,3",10,4
"[[0.7050237703525841, 0.7642933573204652, 0.7461662866744981, 0.814673114212083, 0.2761785244401652], [0.8266545542044489, 0.40484733864321776, 0.5798149102223761, 0.5697195390049543, 0.5015114930574709], [0.3545214433384599, 0.5107327349081584, 0.8647408560504068, 0.20199322949013143, 0.26942997638636834], [0.12350931510090346, 0.6571157714146579, 0.5705864885418632, 0.2779189954671536, 0.8857140401365263], [0.17381702237592755, 0.47231126797241185, 0.17309284627080623, 0.6522288481711148, 0.10530429605305802], [0.7244710818610699, 0.83724266521459, 0.8809335668766637, 0.31327738174798225, 0.6488612659533733], [0.4416739945150361, 0.9850861519751423, 0.09877426267824985, 0.2895241484481713, 0.670255321720896], [0.6916815961423933, 0.6173863976161589, 0.11398787329391635, 0.5790051540959565, 0.5901048192022066], [0.04698047403459282, 0.8370425828406359, 0.8975274625713251, 0.06852833859930552, 0.2716220603374949], [0.6335723310187152, 0.2362436201768714, 0.3425202393487472, 0.7744013722280005, 0.7286018925971861]]","2,2,2,1,2,3,2,4",10,8
"[[0.6781876868408645, 0.5231863524115912, 0.8587407256528273, 0.21423726969576307, 0.534572014058348], [0.7982769072000024, 0.14904061860503592, 0.9017264235364415, 0.8949797959628817, 0.20149062443103516], [0.870593859617399, 0.4798016490082492, 0.13563382607998808, 0.8140256757786347, 0.6250229573467447], [0.1800037249010269, 0.87196328000693, 0.26904428720041174, 0.5863394210887616, 0.6613552768989688], [0.4856583630847624, 0.7619333290528078, 0.41545934414430874, 0.877771247254525, 0.331834619224635], [0.7083959038970384, 0.7816964279761798, 0.797339898517113, 0.984233808462142, 0.10075831530460477], [0.7832723169694847, 0.6777806177302539, 0.754832232194342, 0.39282134293538595, 0.6774969919312629], [0.7662245530177132, 0.4745421448763437, 0.39284972041455124, 0.9072780033460046, 0.17707306551661617], [0.4467170230034625, 0.2701834696403508, 0.17099130235599058, 0.23741038434570028, 0.16891150686118084], [0.9613676794529562, 0.3385746562818165, 0.1879747259163892, 0.9365220665227452, 0.0030397614313465438]]","1,4,1,2",10,4
